pergunta,resposta
Quanto vai custar por pessoa?,🤔 Não encontrei ninguém chamado 'Quanto Custar' na lista de convidados.
Qual é o orçamento total?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quantos convidados estão previstos?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Qual é a capital de França?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Como se faz um bolo de chocolate?,Olá Abreu! 👋 Como estás?
Está a chover hoje?,Hoje é 06/11/2025. Faltam poucos dias para a festa! 🎉
Quem ganhou o último Mundial?,Hoje é 06/11/2025. Faltam poucos dias para a festa! 🎉
Que quintas já foram contactadas?,"📋 Quintas contactadas:
• C.R. Camino de la Ermita & Spa — Indisponível
• Casa da Lagoa / Casa da Forja — Aguarda Resposta
• Casas de Romaria — Aguarda Resposta
• Casas do Toural — Não
• Casas Rurales Manolo — Aguarda Resposta
• Centro Escutista de Apúlia — Indisponível
• El Paraíso de Brovales — Aguarda Resposta
• Estalagem de Monsaraz — Erro email
• Herdade da Ribeira de Borba — Aguarda Resposta
• Herdade da Urgueira — Aguarda Resposta
"
Qual é a capacidade da Monte da Galega?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Que quintas têm piscina?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Há alguma quinta com alojamento incluído?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é a quinta mais cara?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Que quintas ficam a menos de 40 km de Lisboa?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Que quintas têm resposta pendente?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é a quinta mais bem avaliada?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Que quintas estão em Setúbal?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Mostra-me todas as quintas disponíveis até agora.,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Quem confirmou esta semana?,"🎉 Confirmaram: Barbeitos, Carla Ferraz, Catarina, Diogo, Inês, Isabel, Jorge"
Quem ainda falta confirmar da família António?,🙃 Ainda ninguém da tua família confirmou.
Quantas pessoas vêm com crianças?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Há alguém que tenha cancelado?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Quem são os acompanhantes da Isabel?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quem é o convidado mais recente?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quantos convidados há por família?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Há alguma família com todos confirmados?,🙃 Ainda ninguém da tua família confirmou.
Quantos convidados são casais?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Quem ainda não respondeu ao convite?,🤔 Podes indicar o nome da quinta?
Onde vai ser a festa?,🤔 Não encontrei ninguém chamado 'Onde Ser' na lista de convidados.
Qual é a hora do jantar?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Vai haver música ao vivo?,🤔 Não encontrei ninguém chamado 'Haver Música' na lista de convidados.
Qual é o dress code da festa?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Que cor devemos usar?,🤔 Não encontrei ninguém chamado 'Que Cor' na lista de convidados.
Vai haver brunch no dia 1?,🤔 Não encontrei ninguém chamado 'Haver Brunch' na lista de convidados.
Há limite de convidados?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Qual é o número total previsto para a festa?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Quem é o presidente de Portugal?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Qual é o preço do iPhone 16?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quantos dias tem fevereiro?,Hoje é 06/11/2025. Faltam poucos dias para a festa! 🎉
Podes mostrar-me uma receita de bacalhau à Brás?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Qual é a capital da Noruega?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Como está o tempo hoje?,Hoje é 06/11/2025. Faltam poucos dias para a festa! 🎉
Quanto é 12 × 47?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Onde fica o Monte Everest?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Quem ganhou o Festival da Canção?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Que filme ganhou o Óscar este ano?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Dá-me uma piada sobre festas.,O que é um vegetariano que come carne por engano? Um erro biológico! 😂
Qual é o animal mais rápido do mundo?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
Quantos quilómetros tem a maratona?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Escreve-me um poema sobre o Ano Novo.,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
O que significa “passagem de ano”?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Podes cantar uma música de Natal?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
